h1_m4_mp,base,1,wpn_h1_asl_m4a1_hnn_vm_camo,wpn_h1_asl_m4a1_hnn_npc_camo,,wpn_h1_asl_m4a1_hnn_vm_wet_camo,wpn_h1_asl_m4a1_hnn_npc_wet_camo,,wpn_h1_asl_m4a1_hnn_lobby,LootDrop4,
h1_m4_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop4,
h1_m4_mp,gl,0,attach_h1_launcher_m203_vm,attach_h1_launcher_m203_nooptics_npc,,attach_h1_launcher_m203_vm_wet,attach_h1_launcher_m203_nooptics_npc_wet,,,LootDrop4,
h1_m4_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop4,
h1_m4_mp,masterkey,0,attach_h1_underbarrel_shotgun_vm_mp,attach_h1_underbarrel_shotgun_npc_mp,,,,,,LootDrop4,
h1_m4_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop4,
h1_m4_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop4,
h1_m4_mp,silencer,0,attach_h1_silencer_556_vm,attach_h1_silencer_556_npc,,attach_h1_silencer_556_vm_wet,attach_h1_silencer_556_npc_wet,,,LootDrop4,
h1_m4_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop4,
h1_m16_mp,base,1,wpn_h1_asl_m16_hnn_vm_camo,wpn_h1_asl_m16_hnn_npc_camo,,wpn_h1_asl_m16_hnn_vm_wet_camo,wpn_h1_asl_m16_hnn_npc_wet_camo,,wpn_h1_asl_m16_hnn_lobby,LootDrop4,
h1_m16_mp,defaultgrip,1,attach_h1_handguard_m16_hnn_default_vm_camo,attach_h1_handguard_m16_hnn_default_npc_camo,,attach_h1_handguard_m16_hnn_default_vm_wet_camo,attach_h1_handguard_m16_hnn_default_npc_wet_camo,,,Gold,
h1_m16_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop4,
h1_m16_mp,gl,0,attach_h1_handguard_m16_hnn_m203_vm_camo,attach_h1_handguard_m16_hnn_m203_npc_camo,,attach_h1_handguard_m16_hnn_m203_vm_wet_camo,attach_h1_handguard_m16_hnn_m203_npc_wet_camo,,,LootDrop4,
h1_m16_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop4,
h1_m16_mp,masterkey,0,attach_h1_underbarrel_shotgun_vm_mp,attach_h1_underbarrel_shotgun_npc_mp,,,,,,LootDrop4,
h1_m16_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop4,
h1_m16_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop4,
h1_m16_mp,silencer,0,attach_h1_silencer_556_vm,attach_h1_silencer_556_npc,,attach_h1_silencer_556_vm_wet,attach_h1_silencer_556_npc_wet,,,LootDrop4,
h1_m16_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop4,
h1_ak47_mp,base,1,wpn_h1_asl_ak47_hnn_vm_camo,wpn_h1_asl_ak47_hnn_npc_camo,,wpn_h1_asl_ak47_hnn_vm_wet_camo,wpn_h1_asl_ak47_hnn_npc_wet_camo,,wpn_h1_asl_ak47_hnn_lobby,LootDrop4,
h1_ak47_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop4,
