h1_remington700_mp,base,1,wpn_h1_sni_r700_furniture_asn_01_vm_patch_camo,wpn_h1_sni_r700_furniture_asn_01_npc_patch_camo,,wpn_h1_sni_r700_furniture_asn_01_vm_patch_wet_camo,wpn_h1_sni_r700_furniture_asn_01_npc_patch_wet_camo,,wpn_h1_sni_r700_furniture_asn_01_patch_lobby,LootDrop1,
h1_remington700_mp,scope,1,attach_h1_scope_r700_furniture_asn_01_vm_camo,attach_h1_scope_r700_furniture_asn_01_npc_camo,,attach_h1_scope_r700_furniture_asn_01_vm_wet_camo,attach_h1_scope_r700_furniture_asn_01_npc_wet_camo,1,,LootDrop1,
h1_remington700_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,scope,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop1,
h1_remington700_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop1,
h1_m40a3_mp,base,1,wpn_h1_sni_m40a3_furniture_asn_01_patch_vm_camo,wpn_h1_sni_m40a3_furniture_asn_01_patch_npc_camo,,wpn_h1_sni_m40a3_furniture_asn_01_patch_vm_wet_camo,wpn_h1_sni_m40a3_furniture_asn_01_patch_npc_wet_camo,,wpn_h1_sni_m40a3_furniture_asn_01_patch_lobby,LootDrop1,
h1_m40a3_mp,scope,1,attach_h1_scope_m40a3_furniture_asn_01_patch_vm_camo,attach_h1_scope_m40a3_furniture_asn_01_patch_npc_camo,,attach_h1_scope_m40a3_furniture_asn_01_patch_vm_wet_camo,attach_h1_scope_m40a3_furniture_asn_01_patch_npc_wet_camo,1,,LootDrop1,
h1_m40a3_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,scope,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop1,
h1_m40a3_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop1,
h1_barrett_mp,base,1,wpn_h1_sni_m82a1_furniture_asn_01_patch_vm_camo,wpn_h1_sni_m82a1_furniture_asn_01_patch_npc_camo,,wpn_h1_sni_m82a1_furniture_asn_01_patch_vm_wet_camo,wpn_h1_sni_m82a1_furniture_asn_01_patch_npc_wet_camo,,wpn_h1_sni_m82a1_furniture_asn_01_patch_lobby,LootDrop1,
h1_barrett_mp,scope,1,attach_h1_scope_m82a1_furniture_asn_01_patch_vm_camo,attach_h1_scope_m82a1_furniture_asn_01_patch_npc_camo,,attach_h1_scope_m82a1_furniture_asn_01_patch_vm_wet_camo,attach_h1_scope_m82a1_furniture_asn_01_patch_npc_wet_camo,1,,LootDrop1,
h1_barrett_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,scope,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop1,
h1_barrett_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop1,
