h1_g3_mp,base,1,wpn_h1_asl_g3_furniture_btw_01_vm_patch_camo,wpn_h1_asl_g3_furniture_btw_01_npc_patch_camo,,wpn_h1_asl_g3_furniture_btw_01_vm_patch_wet_camo,wpn_h1_asl_g3_furniture_btw_01_npc_patch_wet_camo,,wpn_h1_asl_g3_furniture_btw_01_patch_lobby,LootDrop1,
h1_g3_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop1,
h1_g3_mp,gl,0,attach_h1_launcher_m203_noOptics_vm,attach_h1_launcher_m203_noOptics_npc,,attach_h1_launcher_m203_noOptics_vm_wet,attach_h1_launcher_m203_noOptics_npc_wet,,,LootDrop1,
h1_g3_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop1,
h1_g3_mp,masterkey,0,attach_h1_underbarrel_shotgun_vm_mp,attach_h1_underbarrel_shotgun_npc_mp,,,,,,LootDrop1,
h1_g3_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop1,
h1_g3_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop1,
h1_g3_mp,silencer,0,attach_h1_silencer_556_vm,attach_h1_silencer_556_npc,,attach_h1_silencer_556_vm_wet,attach_h1_silencer_556_npc_wet,,,LootDrop1,
h1_g3_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop1,
h1_m4_mp,base,1,wpn_h1_asl_m4a1_furniture_btw_01_vm_patch_camo,wpn_h1_asl_m4a1_furniture_btw_01_npc_patch_camo,,wpn_h1_asl_m4a1_furniture_btw_01_vm_patch_wet_camo,wpn_h1_asl_m4a1_furniture_btw_01_npc_patch_wet_camo,,wpn_h1_asl_m4a1_furniture_btw_01_patch_lobby,LootDrop1,
h1_m4_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop1,
h1_m4_mp,gl,0,attach_h1_launcher_m203_vm,attach_h1_launcher_m203_npc,,attach_h1_launcher_m203_vm_wet,attach_h1_launcher_m203_npc_wet,,,LootDrop1,
h1_m4_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop1,
h1_m4_mp,masterkey,0,attach_h1_underbarrel_shotgun_vm_mp,attach_h1_underbarrel_shotgun_npc_mp,,,,,,LootDrop1,
h1_m4_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop1,
h1_m4_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop1,
h1_m4_mp,silencer,0,attach_h1_silencer_556_vm,attach_h1_silencer_556_npc,,attach_h1_silencer_556_vm_wet,attach_h1_silencer_556_npc_wet,,,LootDrop1,
h1_m4_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop1,
h1_ak47_mp,base,1,wpn_h1_asl_ak47_furniture_btw_01_vm_camo,wpn_h1_asl_ak47_furniture_btw_01_npc_camo,,wpn_h1_asl_ak47_furniture_btw_01_vm_wet_camo,wpn_h1_asl_ak47_furniture_btw_01_npc_wet_camo,,wpn_h1_asl_ak47_furniture_btw_01_lobby,LootDrop1,
h1_ak47_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop1,
h1_ak47_mp,gl,0,attach_h1_launcher_gp25_patch_vm,attach_h1_launcher_gp25_patch_npc,,,,,,LootDrop1,
h1_ak47_mp,heartbeat,0,viewmodel_heartbeat_iw5,weapon_heartbeat_iw5,,,,,,LootDrop1,
