h1_ak47_mp,base,1,wpn_h1_asl_ak47_vm_patch_camo,wpn_h1_asl_ak47_npc_patch_camo,,wpn_h1_asl_ak47_vm_patch_wet_camo,wpn_h1_asl_ak47_npc_patch_wet_camo,,wpn_h1_asl_ak47_patch_lobby,Gold,
h1_ak47_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,Gold,
h1_ak47_mp,gl,0,attach_h1_launcher_gp25_patch_vm,attach_h1_launcher_gp25_patch_npc,,,,,,Gold,
h1_ak47_mp,heartbeat,0,viewmodel_heartbeat_iw5,weapon_heartbeat_iw5,,,,,,Gold,
h1_ak47_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,Gold,
h1_ak47_mp,masterkey,0,attach_h1_underbarrel_shotgun_vm_mp,attach_h1_underbarrel_shotgun_npc_mp,,,,,,Gold,
h1_ak47_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,Gold,
h1_ak47_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,Gold,
h1_ak47_mp,silencer,0,attach_h1_silencer_russian_vm,attach_h1_silencer_russian_npc,,attach_h1_silencer_russian_vm_wet,attach_h1_silencer_russian_npc_wet,,,Gold,
h1_ak47_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,Gold,
h1_ak47_mp,varzoom,0,viewmodel_zoom_scope,weapon_zoom_scope,,,,1,,Gold,
h1_m4_mp,base,1,wpn_h1_asl_m4a1_vm_camo,wpn_h1_asl_m4a1_npc_camo,,wpn_h1_asl_m4a1_vm_wet_camo,wpn_h1_asl_m4a1_npc_wet_camo,,wpn_h1_asl_m4a1_lobby,Gold,
h1_m4_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,Gold,
h1_m4_mp,gl,0,attach_h1_launcher_m203_vm,attach_h1_launcher_m203_npc,,attach_h1_launcher_m203_vm_wet,attach_h1_launcher_m203_npc_wet,,,Gold,
h1_m4_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,Gold,
