damage_feedback,1,1,,,b,,,,,
ui_loki_rog,1,,,,b,FALSE,,,,
ui_loki_rog_section,1,,,,i,0,0,4,,
ui_loki_rog_message,1,,,,b,TRUE,,,,
ui_loki_rog_message_progress,1,,,,f,0,,,,
ui_loki_rog_altitude,1,,,,float,0,,,,
ui_loki_rog_locked_in,1,,,,b,FALSE,,,,
ui_loki_rog_static,1,,,,b,FALSE,,,,
ui_loki_rog_static_line,1,,,,i,0,0,6,,
ui_pitbull,1,,,,b,FALSE,,,,
ui_pitbull_video_state,1,,,,i,0,0,3,,
ui_railgun,1,,,,b,FALSE,,,,
ui_labtank,1,,,,b,FALSE,,,,
ui_supportdrone,1,,,,b,FALSE,,,,
ui_assaultdrone_controls,1,,,,i,0,0,3,,
ui_assaultdrone_controls_exit,1,,,,b,FALSE,,,,
ui_assaultdrone_connection,1,,,,b,FALSE,,,,
ui_assaultdrone_countdown,1,,,,f,0,0,600,,
ui_assaultdrone_threat_count,1,,,,i,0,0,200,,
ui_assaultdrone_toggle,1,,,,b,FALSE,,,,
ui_sniperdrone,1,,,,b,FALSE,,,,
ui_cloak,1,,,,b,FALSE,,,,
ui_cloak_on,1,,,,b,FALSE,,,,
ui_cloak_health,1,,,,i,0,0,100,,
ui_cloak_cinematic,1,,,,b,FALSE,,,,
ui_manhunttablet,1,,,,b,FALSE,,,,
ui_hoverbike,1,,,,b,FALSE,,,,
ui_lagosflydrone,1,,,,b,FALSE,,,,
ui_hoverbike_speed,1,,,,i,0,0,100,,
ui_hoverbike_bootup,1,,,,b,TRUE,,,,
ui_hide_hud,1,,,,b,FALSE,,,,
ui_playermech_hud,1,,,,b,FALSE,,,,
ui_playermech_numswarmtargets,1,,,,i,0,0,100,,
ui_playermech_swarmrecharge,1,,,,f,0,,,,
ui_playermech_swarm_state,1,,,,i,0,0,4,,
ui_playermech_swarm_pressed,,1,,,b,FALSE,,,,
ui_playermech_rocketrecharge,1,,,,f,0,,,,
ui_playermech_rocket_state,1,,,,i,0,0,3,,
ui_playermech_rocket_pressed,,1,,,b,FALSE,,,,
ui_playermech_chaingun_heatlevel,1,,,,f,0,,,,
ui_playermech_chaingun_state,1,,,,i,0,0,4,,
ui_playermech_chaingun_pressed,,1,,,b,FALSE,,,,
