killhouse,aar_img_seoul,MENU_SP_H1_KILLHOUSE,MENU_SP_H1_KILLHOUSE_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_KILLHOUSE_DESC,aar_img_seoul,mus_after_action_menu_seo,
cargoship,aar_img_seoul,MENU_SP_H1_CARGOSHIP,MENU_SP_H1_CARGOSHIP_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_CARGOSHIP_DESC,aar_img_seoul,mus_after_action_menu_seo,
coup,aar_img_seoul,MENU_SP_H1_COUP,MENU_SP_H1_COUP_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_COUP_DESC,aar_img_seoul,mus_after_action_menu_seo,
blackout,aar_img_seoul,MENU_SP_H1_BLACKOUT,MENU_SP_H1_BLACKOUT_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_BLACKOUT_DESC,aar_img_seoul,mus_after_action_menu_seo,
armada,aar_img_seoul,MENU_SP_H1_ARMADA,MENU_SP_H1_ARMADA_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_ARMADA_DESC,aar_img_seoul,mus_after_action_menu_seo,
bog_a,aar_img_seoul,MENU_SP_H1_BOG_A,MENU_SP_H1_BOG_A_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_BOG_A_DESC,aar_img_seoul,mus_after_action_menu_seo,
hunted,aar_img_seoul,MENU_SP_H1_HUNTED,MENU_SP_H1_HUNTED_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_HUNTED_DESC,aar_img_seoul,mus_after_action_menu_seo,
ac130,aar_img_seoul,MENU_SP_H1_AC130,MENU_SP_H1_AC130_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_AC131_DESC,aar_img_seoul,mus_after_action_menu_seo,
bog_b,aar_img_seoul,MENU_SP_H1_BOG_B,MENU_SP_H1_BOG_B_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_BOG_B_DESC,aar_img_seoul,mus_after_action_menu_seo,
airlift,aar_img_seoul,MENU_SP_H1_AIRLIFT,MENU_SP_H1_AIRLIFT_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_AIRLIFT_DESC,aar_img_seoul,mus_after_action_menu_seo,
aftermath,aar_img_seoul,MENU_SP_H1_AFTERMATH,MENU_SP_H1_AFTERMATH_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_AFTERMATH_DESC,aar_img_seoul,mus_after_action_menu_seo,
village_assault,aar_img_seoul,MENU_SP_H1_VILLAGE_ASSAULT,MENU_SP_H1_VILLAGE_ASSAULT_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_VILLAGE_ASSAULT_DESC,aar_img_seoul,mus_after_action_menu_seo,
scoutsniper,aar_img_seoul,MENU_SP_H1_SCOUTSNIPER,MENU_SP_H1_SCOUTSNIPER_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_SCOUTSNIPER_DESC,aar_img_seoul,mus_after_action_menu_seo,
sniperescape,aar_img_seoul,MENU_SP_H1_SNIPERESCAPE,MENU_SP_H1_SNIPERESCAPE_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_SNIPERESCAPE_DESC,aar_img_seoul,mus_after_action_menu_seo,
village_defend,aar_img_seoul,MENU_SP_H1_VILLAGE_DEFEND,MENU_SP_H1_VILLAGE_DEFEND_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_VILLAGE_DEFEND_DESC,aar_img_seoul,mus_after_action_menu_seo,
ambush,aar_img_seoul,MENU_SP_H1_AMBUSH,MENU_SP_H1_AMBUSH_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_AMBUSH_DESC,aar_img_seoul,mus_after_action_menu_seo,
icbm,aar_img_seoul,MENU_SP_H1_ICBM,MENU_SP_H1_ICBM_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_ICBM_DESC,aar_img_seoul,mus_after_action_menu_seo,
launchfacility_a,aar_img_seoul,MENU_SP_H1_LAUNCHFACILITY_A,MENU_SP_H1_LAUNCHFACILITY_A_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_LAUNCHFACILITY_A_DESC,aar_img_seoul,mus_after_action_menu_seo,
launchfacility_b,aar_img_seoul,MENU_SP_H1_LAUNCHFACILITY_B,MENU_SP_H1_LAUNCHFACILITY_B_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_LAUNCHFACILITY_B_DESC,aar_img_seoul,mus_after_action_menu_seo,
jeepride,aar_img_seoul,MENU_SP_H1_JEEPRIDE,MENU_SP_H1_JEEPRIDE_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_JEEPRIDE_DESC,aar_img_seoul,mus_after_action_menu_seo,
airplane,aar_img_seoul,MENU_SP_H1_AIRPLANE,MENU_SP_H1_AIRPLANE_DESC,s1_ui_icon_logo_sentinel,MENU_SP_H1_AIRPLANE_DESC,aar_img_finale,mus_after_action_menu_seo,
simplecredits,aar_img_seoul,MENU_SP_CREDITS_CAPS,MENU_SP_H1_SIMPLECREDITS,s1_ui_icon_logo_sentinel,MENU_SP_H1_SIMPLECREDITS_DESC,aar_img_finale,mus_after_action_menu_seo,
