0,resist01,,UPGRADE_RESIST01_NAME,UPGRADE_RESIST01,specialty_resistexplosion,perk_resistExplosionDamageMultiplier,0.7,0.75,specialty_resistshellshock,perk_resistShellShockMultiplier,0.75,0.75,MENU_SP_STAT_NUM_PERCENT,25,1,Reduced explosion damage/flash effect,
1,resist02,resist01,UPGRADE_RESIST02_NAME,UPGRADE_RESIST02,specialty_resistexplosion,perk_resistExplosionDamageMultiplier,0.7,0.5,specialty_resistshellshock,perk_resistShellShockMultiplier,0.75,0.5,MENU_SP_STAT_NUM_PERCENT,50,2,,
2,resist03,resist02,UPGRADE_RESIST03_NAME,UPGRADE_RESIST03,specialty_resistexplosion,perk_resistExplosionDamageMultiplier,0.6,0.4,specialty_resistshellshock,perk_resistShellShockMultiplier,0.5,0.4,MENU_SP_STAT_NUM_PERCENT,60,3,,
3,armor01,resist01,UPGRADE_ARMOR01_NAME,UPGRADE_ARMOR01,specialty_armorvest,perk_armorVestDamageMultiplier,0.8,0.9,,,,,MENU_SP_STAT_NUM_PERCENT,10,1,Increased health,
4,armor02,armor01,UPGRADE_ARMOR02_NAME,UPGRADE_ARMOR02,specialty_armorvest,perk_armorVestDamageMultiplier,0.8,0.75,,,,,MENU_SP_STAT_NUM_PERCENT,25,2,,
5,reload01,,UPGRADE_RELOAD01_NAME,UPGRADE_RELOAD01,specialty_fastreload,perk_weapReloadMultiplier,1,0.75,,,,,MENU_SP_STAT_NUM_PERCENT,25,1,Faster reload speed,
6,reload02,reload01,UPGRADE_RELOAD02_NAME,UPGRADE_RELOAD02,specialty_fastreload,perk_weapReloadMultiplier,1,0.5,,,,,MENU_SP_STAT_NUM_PERCENT,50,2,,
7,sprint01,,UPGRADE_SPRINT01_NAME,UPGRADE_SPRINT01,specialty_longersprint,perk_sprintMultiplier,2,1.5,,,,,MENU_SP_STAT_NUM_PERCENT,50,1,Longer sprint time,
8,sprint02,sprint01,UPGRADE_SPRINT02_NAME,UPGRADE_SPRINT02,specialty_longersprint,perk_sprintMultiplier,2,2,,,,,MENU_SP_STAT_NUM_PERCENT,100,2,,
9,detection01,resist01,UPGRADE_DETECTION01_NAME,UPGRADE_DETECTION01,specialty_detectexplosive,,,,,,,,MENU_SP_STAT_NUM_PERCENT,,1,Detect grenade explosion radius/weapon pickups,
10,detection02,detection01,UPGRADE_DETECTION02_NAME,UPGRADE_DETECTION02,specialty_extendeddetectgren,,,,,,,,MENU_SP_STAT_NUM_PERCENT,,2,,
11,quickaim01,reload01,UPGRADE_QUICKAIM01_NAME,UPGRADE_QUICKAIM01,specialty_quickdraw,perk_quickDrawSpeedScale,1.5,1.25,,,,,MENU_SP_STAT_NUM_PERCENT,25,1,Faster into ADS,
12,quickaim02,quickaim01,UPGRADE_QUICKAIM02_NAME,UPGRADE_QUICKAIM02,specialty_quickdraw,perk_quickDrawSpeedScale,1.5,1.5,,,,,MENU_SP_STAT_NUM_PERCENT,50,2,,
13,mantle01,quickaim01,UPGRADE_MANTLE01_NAME,UPGRADE_MANTLE01,specialty_fastmantle,perk_mantleSpeedMultiplier,1.5,1.8,,,,,MENU_SP_STAT_NUM_PERCENT,80,1,Faster mantle speed,
14,mantle02,mantle01,UPGRADE_MANTLE02_NAME,UPGRADE_MANTLE02,specialty_fastmantle,perk_mantleSpeedMultiplier,1.5,2.5,,,,,MENU_SP_STAT_NUM_PERCENT,150,2,,
15,recoil01,,UPGRADE_RECOIL01_NAME,UPGRADE_RECOIL01,specialty_recoil,perk_recoilMultiplier,0.7,0.9,specialty_bulletaccuracy,perk_weapSpreadMultiplier,0.65,0.9,MENU_SP_STAT_NUM_PERCENT,10,1,Less recoil when shooting,
16,recoil02,recoil01,UPGRADE_RECOIL02_NAME,UPGRADE_RECOIL02,specialty_recoil,perk_recoilMultiplier,0.7,0.8,specialty_bulletaccuracy,perk_weapSpreadMultiplier,0.65,0.8,MENU_SP_STAT_NUM_PERCENT,20,2,,
17,flinch01,recoil01,UPGRADE_FLINCH01_NAME,UPGRADE_FLINCH01,specialty_flinch,perk_flinchMultiplier,0.6,0.6,,,,,MENU_SP_STAT_NUM_PERCENT,40,1,Less flinch when shot,
18,flinch02,flinch01,UPGRADE_FLINCH02_NAME,UPGRADE_FLINCH02,specialty_flinch,perk_flinchMultiplier,0.6,0.2,,,,,MENU_SP_STAT_NUM_PERCENT,80,2,,
19,lethal01,,UPGRADE_LETHAL01_NAME,UPGRADE_LETHAL01,specialty_extralethal,perk_numExtraLethal,1,1,,,,,MENU_PLUS,1,1,Extra lethal grenade,
20,lethal02,lethal01,UPGRADE_LETHAL02_NAME,UPGRADE_LETHAL02,specialty_extralethal,perk_numExtraLethal,2,2,,,,,MENU_PLUS,2,2,,
21,tactical01,lethal01,UPGRADE_TACTICAL01_NAME,UPGRADE_TACTICAL01,specialty_extratactical,perk_numExtraTactical,1,1,,,,,MENU_PLUS,1,1,Extra tactical grenade,
22,tactical02,tactical01,UPGRADE_TACTICAL02_NAME,UPGRADE_TACTICAL02,specialty_extratactical,perk_numExtraTactical,2,2,,,,,MENU_PLUS,2,2,,
23,extendedbattery,,UPGRADE_EXTENDED_BATTERY_NAME,UPGRADE_EXTENDED_BATTERY,specialty_extended_battery,,,,,,,,MENU_PLUS,1,1,Extended battery,
24,extendedbattery2,extendedbattery,UPGRADE_EXTENDED_BATTERY2_NAME,UPGRADE_EXTENDED_BATTERY2,specialty_extended_battery2,,,,,,,,MENU_PLUS,2,2,,
25,overdrive01,,UPGRADE_OVERDRIVE01_NAME,UPGRADE_OVERDRIVE01,specialty_overdrive,,,,,,,,MENU_SP_STAT_NUM_PERCENT,,1,Longer Overdrive time/more slow down*,
26,overdrive02,overdrive01,UPGRADE_OVERDRIVE02_NAME,UPGRADE_OVERDRIVE02,specialty_overdrive2,,,,,,,,MENU_SP_STAT_NUM_PERCENT,,2,,
27,overdrive03,overdrive02,UPGRADE_OVERDRIVE03_NAME,UPGRADE_OVERDRIVE03,specialty_overdrive3,,,,,,,,MENU_SP_STAT_NUM_PERCENT,,3,,
