0,screen_view,10001,1,
1,end_match,10002,0,
2,store_entry,10003,0,
3,store_item_browse,10004,1,
4,store_purchase_confirm,10005,0,
5,crm_message_view,10006,1,
6,crm_message_click,10007,1,
7,start_match,10008,0,
8,session_start,10010,0,
9,prestige,10016,1,
10,redeem_loot_drop,10017,0,
11,defeat_level,10018,0,
12,exchange_process_product,10019,0,
13,dismantle_item,10027,0,
14,craft_item,10028,0,
15,create_account,10029,0,
16,hardware_survey,10030,0,
17,collection_reward,10031,0,
18,exchange_loot,10032,0,
