feature_demolitions,feature,1,,,,,,,,,,
feature_sniper,feature,2,,,,,,,,,,
feature_cac,feature,3,,,,,,,,,,
feature_challenges,feature,4,,,,,,,,,,
clantag,profileFeature,11,,,,,,,,,,
feature_weapon_emblem,feature,29,,,,,,,,,,
feature_character_emblem,feature,19,,,,,,,,,,
tier_1_a,challenge,4,,,,,,,,,,
tier_2_a,challenge,4,,,,,,,,,,
tier_3_a,challenge,4,,,,,,,,,,
tier_4_a,challenge,4,,,,,,,,,,
tier_5_a,challenge,4,,,,,,,,,,
tier_6_a,challenge,8,,,,,,,,,,
tier_6_b,challenge,11,,,,,,,,,,
tier_6_c,challenge,14,,,,,,,,,,
tier_6_d,challenge,17,,,,,,,,,,
tier_7_a,challenge,20,,,,,,,,,,
tier_7_b,challenge,23,,,,,,,,,,
tier_7_c,challenge,26,,,,,,,,,,
tier_8_a,challenge,29,,,,,,,,,,
tier_8_b,challenge,32,,,,,,,,,,
tier_8_c,challenge,35,,,,,,,,,,
tier_8_d,challenge,38,,,,,,,,,,
tier_9_a,challenge,41,,,,,,,,,,
tier_9_b,challenge,44,,,,,,,,,,
tier_9_c,challenge,46,,,,,,,,,,
tier_9_d,challenge,47,,,,,,,,,,
tier_9_e,challenge,49,,,,,,,,,,
tier_10_a,challenge,50,,,,,,,,,,
tier_10_b,challenge,52,,,,,,,,,,
tier_10_c,challenge,53,,,,,,,,,,
prestige_1,challenge,0,,,,,,1,,,,
prestige_2,challenge,0,,,,,,2,,,,
prestige_3,challenge,0,,,,,,3,,,,
prestige_4,challenge,0,,,,,,4,,,,
prestige_5,challenge,0,,,,,,5,,,,
prestige_6,challenge,0,,,,,,6,,,,
prestige_7,challenge,0,,,,,,7,,,,
prestige_8,challenge,0,,,,,,8,,,,
prestige_9,challenge,0,,,,,,9,,,,
prestige_10,challenge,0,,,,,,10,,,,
prestige_11,challenge,0,,,,,,11,,,,
prestige_12,challenge,0,,,,,,12,,,,
prestige_13,challenge,0,,,,,,13,,,,
prestige_14,challenge,0,,,,,,14,,,,
prestige_15,challenge,0,,,,,,15,,,,
prestige_16,challenge,0,,,,,,16,,,,
prestige_17,challenge,0,,,,,,17,,,,
prestige_18,challenge,0,,,,,,18,,,,
prestige_19,challenge,0,,,,,,19,,,,
prestige_20,challenge,0,,,,,,20,,,,
ak_reflex,none,0,,,,,,,,,Gold,
ak_grip,none,0,,,,,,,,,Gold,
ak_gl,none,0,,,,,,,,,Gold,
fk_none,none,0,,,,,,,,,Gold,
ak_none,none,0,,,,,,,,,Gold,
ak_silencer,none,0,,,,,,,,,Gold,
ak_akimbo,none,0,,,,,,,,,,
