0,aw_basic,0x100D0B8,10,,,
1,aw_advanced,0x100D0B9,30,0x100D0BA,200,
2,onboarding,0x100D00A,0,,,
3,ls_basic,0x100D1B2,10,,,
4,ls_advanced,0x100D1B3,30,0x100D1B4,200,
5,ls_promo,0x100D13C,30,0x100D13E,200,
6,ex_promo_1,0x100D1B8,0,0x100D1B8,300,
7,ex_promo_2,0x100D1BA,30,0x100D1BA,300,
8,ex_promo_3,0x100D1BC,30,0x100D1BC,300,
9,ex_promo_4,0x100D1BE,30,0x100D1BE,300,
10,ex_promo_5,0x100D1C0,30,0x100D1C0,300,
11,ex_promo_6,0x100D1C2,30,0x100D1C2,300,
12,ex_promo_7,0x100D1C4,30,0x100D1C4,300,
13,ex_promo_8,0x100D1C6,30,0x100D1C6,300,
14,ex_promo_9,0x100D1DE,30,0x100D1DE,200,
15,ex_promo_10,0x100D1E0,30,0x100D1E0,200,
16,ex_promo_11,0x100D1E2,30,0x100D1E2,200,
17,ex_promo_12,0x100D1E4,30,0x100D1E3,200,
18,ex_promo_13,0x100D1E6,30,0x100D1E7,200,
19,ex_promo_14,0x100D1E8,30,0x100D1E9,200,
20,ex_promo_15,0x100D1EA,30,0x100D1EB,200,
21,ex_promo_16,0x100D1EC,30,0x100D1ED,200,
22,ch_basic,0x100D411,10,,,
23,ch_advanced,0x100D412,30,0x100D413,200,
24,ch_promo,0x100D342,30,0x100D343,200,
