0,none,MPUI_NONE,PERKS_STANDARD_FINISH,weapon_missing_image,,,,,,,,,,0x100D0C0,
1,ccamo_assassin,LOOT_DEC_CCAMO_01,WEAPON_TEMP,h1_character_camo_assassin_marines,char_h1_camo_sas_ct_001_col,char_h1_camo_sas_woodland_001_col,,char_h1_camo_usmc_001_col,char_h1_camo_spetsnaz_001_col,char_h1_camo_spetsnaz_001_col,,char_h1_camo_arab_opfor_001_col,,0x10039C1,
2,ccamo_gunslinger,LOOT_DEC_CCAMO_06,WEAPON_TEMP,h1_character_camo_gunslinger_marines,char_h1_camo_sas_ct_002_col,char_h1_camo_sas_woodland_002_col,,char_h1_camo_usmc_002_col,char_h1_camo_spetsnaz_002_col,char_h1_camo_spetsnaz_002_col,,char_h1_camo_arab_opfor_002_col,,0x10039C6,
3,ccamo_gravedigger,LOOT_DEC_CCAMO_05,WEAPON_TEMP,h1_character_camo_gravedigger_marines,char_h1_camo_sas_ct_003_col,char_h1_camo_sas_woodland_003_col,,char_h1_camo_usmc_003_col,char_h1_camo_spetsnaz_003_col,char_h1_camo_spetsnaz_003_col,,char_h1_camo_arab_opfor_003_col,,0x10039C5,
4,ccamo_sf_01,LOOT_DEC_CCAMO_08,WEAPON_TEMP,h1_character_camo_specialforces_01_marines,char_h1_camo_sas_ct_004_col,char_h1_camo_sas_woodland_004_col,,char_h1_camo_usmc_004_col,char_h1_camo_spetsnaz_004_col,char_h1_camo_spetsnaz_004_col,,char_h1_camo_arab_opfor_004_col,,0x10039C8,
5,ccamo_sf_02,LOOT_DEC_CCAMO_09,WEAPON_TEMP,h1_character_camo_specialforces_02_marines,char_h1_camo_sas_ct_005_col,char_h1_camo_sas_woodland_005_col,,char_h1_camo_usmc_005_col,char_h1_camo_spetsnaz_005_col,char_h1_camo_spetsnaz_005_col,,char_h1_camo_arab_opfor_005_col,,0x10039C9,
6,ccamo_sf_03,LOOT_DEC_CCAMO_10,WEAPON_TEMP,h1_character_camo_specialforces_03_marines,char_h1_camo_sas_ct_006_col,char_h1_camo_sas_woodland_006_col,,char_h1_camo_usmc_006_col,char_h1_camo_spetsnaz_006_col,char_h1_camo_spetsnaz_006_col,,char_h1_camo_arab_opfor_006_col,,0x10039CA,
7,ccamo_fo_01,LOOT_DEC_CCAMO_02,WEAPON_TEMP,h1_character_camo_forwardop_01_marines,char_h1_camo_sas_ct_007_col,char_h1_camo_sas_woodland_007_col,,char_h1_camo_usmc_007_col,char_h1_camo_spetsnaz_007_col,char_h1_camo_spetsnaz_007_col,,char_h1_camo_arab_opfor_007_col,,0x10039C2,
8,ccamo_fo_02,LOOT_DEC_CCAMO_03,WEAPON_TEMP,h1_character_camo_forwardop_02_marines,char_h1_camo_sas_ct_008_col,char_h1_camo_sas_woodland_008_col,,char_h1_camo_usmc_008_col,char_h1_camo_spetsnaz_008_col,char_h1_camo_spetsnaz_008_col,,char_h1_camo_arab_opfor_008_col,,0x10039C3,
9,ccamo_fo_03,LOOT_DEC_CCAMO_04,WEAPON_TEMP,h1_character_camo_forwardop_03_marines,char_h1_camo_sas_ct_009_col,char_h1_camo_sas_woodland_009_col,,char_h1_camo_usmc_009_col,char_h1_camo_spetsnaz_009_col,char_h1_camo_spetsnaz_009_col,,char_h1_camo_arab_opfor_009_col,,0x10039C4,
